produpgpospa2.starbucks.com          bigip-produpgpospa2-starbucks.oracle.com
content-prod-live.cert.starbucks.com          content-prod-live.cert.starbucks.com.edgekey.net
bomgarlab.starbucks.com          NODATA AVAILABLE
store.starbucks.com          NODATA AVAILABLE
globalassets.starbucks.com          globalassets.starbucks.com.edgekey.net
sts-vis.starbucks.com          sts-vis.gtm.starbucks.com
origin-www.starbucks.com          www.starbucks.com
fp.starbucks.com          NODATA AVAILABLE
starbucks.com          NODATA AVAILABLE
test7-iad.openapi.starbucks.com          NODATA AVAILABLE
itsm.starbucks.com          txnmid-a-v9.starbucks.com
digital.starbucks.com          NODATA AVAILABLE
sts-vis0.starbucks.com          sts-vis0.gtm.starbucks.com
sts-vis-cloud2.starbucks.com          sts-vis-cloud2.gtm.starbucks.com
www.mena.starbucks.com          NODATA AVAILABLE
mrs1.starbucks.com          NODATA AVAILABLE
testweb.starbucks.com          NODATA AVAILABLE
da04.starbucks.com          NODATA AVAILABLE
pwss-chd2.starbucks.com          NODATA AVAILABLE
bi-cap-tb.starbucks.com          NODATA AVAILABLE
sts-vis-dev-cloud2.starbucks.com          sts-vis-dev-cloud2.gtm.starbucks.com
www2.starbucks.com          NODATA AVAILABLE
p01.productioncontroller-lb.starbucks.com          sbp01.westus.cloudapp.azure.com
cloudappsemea.starbucks.com          NODATA AVAILABLE
bubbles1.starbucks.com          NODATA AVAILABLE
stageapi-iad.starbucks.com          NODATA AVAILABLE
sts-vis-dev-cloud2-iad.starbucks.com          NODATA AVAILABLE
test4-iad.starbucks.com          NODATA AVAILABLE
orchestra.starbucks.com          NODATA AVAILABLE
ordering-prod-a.starbucks.com          NODATA AVAILABLE
test1-iad.starbucks.com          NODATA AVAILABLE
sts-vis-cloud1.starbucks.com          sts-vis-cloud1.gtm.starbucks.com
chdlyncweb01.starbucks.com          NODATA AVAILABLE
secureui-iad.starbucks.com          NODATA AVAILABLE
sts-vis-cert-cloud2-iad.starbucks.com          NODATA AVAILABLE
ldap-iad.starbucks.com          NODATA AVAILABLE
testnonb.starbucks.com          testwww.starbucks.com
sixevents-api.starbucks.com          six-waf-prod.westus2.cloudapp.azure.com
ldap-chd.starbucks.com          NODATA AVAILABLE
bi-cert-mstr-web.starbucks.com          NODATA AVAILABLE
test7-iad.starbucks.com          NODATA AVAILABLE
loadacme-chd.starbucks.com          NODATA AVAILABLE
cdx-prod-api.starbucks.com          s00181cdxtmna.trafficmanager.net
test5-iad.starbucks.com          NODATA AVAILABLE
athome.starbucks.com          br3o6wb.x.incapdns.net
sts-vis-cert2-chd.starbucks.com          NODATA AVAILABLE
loadstorelanding-chd.starbucks.com          NODATA AVAILABLE
testwcmsvcs-chd.starbucks.com          NODATA AVAILABLE
mena.card.starbucks.com          NODATA AVAILABLE
sso-group.starbucks.com          NODATA AVAILABLE
investor.starbucks.com          webfarm-50.q4web.com
appcafe-cert-iad.starbucks.com          NODATA AVAILABLE
start.starbucks.com          NODATA AVAILABLE
id-cert.starbucks.com          id-cert.gtm.starbucks.com
outlook.starbucks.com          outlook-iad.starbucks.com
token.starbucks.com          NODATA AVAILABLE
bomgaratlaschd.starbucks.com          NODATA AVAILABLE
host2.openapi.starbucks.com          NODATA AVAILABLE
retail.starbucks.com          NODATA AVAILABLE
dr-host2.openapi.starbucks.com          NODATA AVAILABLE
testdesktop-chd.starbucks.com          NODATA AVAILABLE
sts-vis-dev-cloud2-chd.starbucks.com          NODATA AVAILABLE
edge.starbucks.com          NODATA AVAILABLE
remote.starbucks.com          NODATA AVAILABLE
federate.starbucks.com          NODATA AVAILABLE
microsite.starbucks.com          NODATA AVAILABLE
help.starbucks.com          bomgar.starbucks.com
test7.openapi.starbucks.com          sbux-integration-oapi.dn.apigee.net
teams.starbucks.com          NODATA AVAILABLE
cloudappschd.starbucks.com          NODATA AVAILABLE
webmail.starbucks.com          mail.starbucks.com
app.starbucks.com          starbuckssites.starbucks.com.edgekey.net
me.starbucks.com          NODATA AVAILABLE
servicedesk.starbucks.com          NODATA AVAILABLE
sso-group0.starbucks.com          sso-group0-iad.starbucks.com
play.starbucks.com          www.starbucks.com
mdpjs.nonprod2.starbucks.com          NODATA AVAILABLE
roastery.starbucks.com          roastery.starbucks.com.c.footprint.net
eapi.starbucks.com          sbux-production-eapi-prod.apigee.net
splunk.starbucks.com          NODATA AVAILABLE
testapi.starbucks.com          NODATA AVAILABLE
a.starbucks.com          NODATA AVAILABLE
auth-ash.starbucks.com          NODATA AVAILABLE
transportation.starbucks.com          NODATA AVAILABLE
sts-vis-cloud3-chd.starbucks.com          NODATA AVAILABLE
m.a.starbucks.com          NODATA AVAILABLE
test6-iad.openapi.starbucks.com          NODATA AVAILABLE
reg.e.starbucks.com          NODATA AVAILABLE
mta705.a.starbucks.com          NODATA AVAILABLE
b.a.starbucks.com          NODATA AVAILABLE
b.ns.e.starbucks.com          NODATA AVAILABLE
community.starbucks.com          NODATA AVAILABLE
d.mx.b.e.starbucks.com          NODATA AVAILABLE
e.ns.e.starbucks.com          NODATA AVAILABLE
b.e.starbucks.com          NODATA AVAILABLE
host-iad.openapi.starbucks.com          NODATA AVAILABLE
d.ns.e.starbucks.com          NODATA AVAILABLE
ebm.a.starbucks.com          NODATA AVAILABLE
mta704.a.starbucks.com          NODATA AVAILABLE
a.ns.a.starbucks.com          NODATA AVAILABLE
c.mx.b.e.starbucks.com          NODATA AVAILABLE
b.mx.m.e.starbucks.com          NODATA AVAILABLE
mta960.e.starbucks.com          NODATA AVAILABLE
a.mx.m.e.starbucks.com          NODATA AVAILABLE
mta961.e.starbucks.com          NODATA AVAILABLE
e.starbucks.com          NODATA AVAILABLE
a.mx.b.e.starbucks.com          NODATA AVAILABLE
a.ns.e.starbucks.com          NODATA AVAILABLE
d.mx.e.starbucks.com          NODATA AVAILABLE
m.e.starbucks.com          NODATA AVAILABLE
f.ns.e.starbucks.com          NODATA AVAILABLE
b.mx.b.e.starbucks.com          NODATA AVAILABLE
c.ns.e.starbucks.com          NODATA AVAILABLE
ebm.e.starbucks.com          NODATA AVAILABLE
ucpc.starbucks.com          sbux-production-ucp-prod.apigee.net
sts-vis-dev1.starbucks.com          sts-vis-dev1-iad.starbucks.com
spc.starbucks.com          sbux-production-ucp-prod.apigee.net
rsi.starbucks.com          NODATA AVAILABLE
sts-vis-cert1.starbucks.com          sts-vis-cert1-iad.starbucks.com
